Date,Open,High,Low,Close,Volume,Adj Close
2013-02-08,6228.40,6278.10,6228.40,6263.90,589359300,6263.90
2013-02-07,6295.30,6313.00,6216.70,6228.40,721694500,6228.40
2013-02-06,6282.80,6321.50,6265.60,6295.30,673857000,6295.30
2013-02-05,6246.80,6296.50,6244.10,6282.80,612214600,6282.80
2013-02-04,6347.20,6347.30,6236.70,6246.80,765896900,6246.80
2013-02-01,6276.90,6354.00,6275.50,6347.20,686175200,6347.20
2013-01-31,6323.10,6323.10,6276.90,6276.90,809378600,6276.90
2013-01-30,6339.20,6354.50,6316.30,6323.10,691737600,6323.10
2013-01-29,6294.40,6346.40,6285.80,6339.20,641748600,6339.20
2013-01-28,6284.50,6311.30,6277.00,6294.40,533448800,6294.40
2013-01-25,6264.90,6284.50,6247.30,6284.50,585517400,6284.50
2013-01-24,6197.60,6271.40,6186.50,6264.90,655654900,6264.90
2013-01-23,6179.20,6200.50,6178.50,6197.60,685179700,6197.60
2013-01-22,6181.00,6188.60,6149.20,6179.20,558352800,6179.20
2013-01-21,6154.40,6182.20,6154.40,6181.00,401154800,6181.00
2013-01-18,6132.40,6172.50,6131.90,6154.40,713504600,6154.40
2013-01-17,6104.00,6135.90,6087.50,6132.40,622925200,6132.40
2013-01-16,6117.30,6117.30,6076.10,6104.00,818412100,6104.00
2013-01-15,6107.90,6117.30,6086.20,6117.30,700998500,6117.30
2013-01-14,6121.60,6134.20,6104.90,6107.90,628350000,6107.90
2013-01-11,6101.50,6121.60,6095.10,6121.60,685724400,6121.60
2013-01-10,6098.70,6118.30,6090.60,6101.50,764650200,6101.50
2013-01-09,6053.60,6112.30,6053.60,6098.70,812116200,6098.70
2013-01-08,6064.60,6088.20,6053.60,6053.60,663115700,6053.60
2013-01-07,6089.80,6091.50,6060.80,6064.60,571661700,6064.60
2013-01-04,6047.30,6089.80,6038.00,6089.80,548929200,6089.80
2013-01-03,6027.40,6051.30,6016.80,6047.30,470665900,6047.30
2013-01-02,5897.80,6044.60,5897.80,6027.40,652659400,6027.40
2013-01-01,5897.80,5897.80,5897.80,5897.80,000,5897.80
2012-12-31,5925.40,5925.40,5873.40,5897.80,164636500,5897.80
2012-12-28,5954.30,5976.00,5915.30,5925.40,306906200,5925.40
2012-12-27,5954.20,5997.00,5942.40,5954.30,340703400,5954.30
2012-12-26,5954.20,5954.20,5954.20,5954.20,000,5954.20
2012-12-25,5954.20,5954.20,5954.20,5954.20,000,5954.20
2012-12-24,5940.00,5957.70,5937.10,5954.20,149881300,5954.20
2012-12-21,5958.30,5958.30,5894.10,5940.00,933059900,5940.00
2012-12-20,5961.60,5970.90,5950.10,5958.30,596569500,5958.30
2012-12-19,5935.90,5977.80,5935.90,5961.60,743375800,5961.60
2012-12-18,5912.20,5946.40,5911.10,5935.90,664063300,5935.90
2012-12-17,5921.80,5923.90,5881.00,5912.20,533505800,5912.20
2012-12-14,5929.60,5944.50,5915.30,5921.80,529958300,5921.80
2012-12-13,5945.90,5947.90,5918.60,5929.60,557270400,5929.60
2012-12-12,5925.00,5948.50,5915.90,5945.90,629912400,5945.90
2012-12-11,5921.60,5937.90,5908.30,5925.00,514655800,5925.00
2012-12-10,5914.40,5924.00,5891.30,5921.60,463904100,5921.60
2012-12-07,5901.40,5923.10,5889.90,5914.40,584102500,5914.40
2012-12-06,5892.10,5923.90,5889.70,5901.40,637068600,5901.40
2012-12-05,5869.00,5902.70,5869.00,5892.10,610548500,5892.10
2012-12-04,5871.20,5885.40,5852.90,5869.00,596025500,5869.00
2012-12-03,5866.80,5902.00,5859.60,5871.20,512045500,5871.20
2012-11-30,5870.30,5904.40,5860.30,5866.80,699163600,5866.80
2012-11-29,5803.30,5884.00,5803.30,5870.30,652938200,5870.30
2012-11-28,5799.70,5808.30,5755.20,5803.30,610194800,5803.30
2012-11-27,5786.70,5823.20,5786.70,5799.70,659091000,5799.70
2012-11-26,5819.10,5819.10,5773.90,5786.70,601954400,5786.70
2012-11-23,5791.00,5830.50,5781.40,5819.10,427505000,5819.10
2012-11-22,5752.00,5796.50,5752.00,5791.00,511821700,5791.00
2012-11-21,5748.10,5760.10,5727.90,5752.00,640008800,5752.00
2012-11-20,5737.70,5751.80,5706.70,5748.10,803266300,5748.10
2012-11-19,5605.60,5739.70,5605.60,5737.70,745281500,5737.70
2012-11-16,5677.80,5682.70,5605.60,5605.60,939385600,5605.60
2012-11-15,5722.00,5722.00,5674.30,5677.80,799767400,5677.80
2012-11-14,5786.30,5786.30,5719.60,5722.00,865457700,5722.00
2012-11-13,5767.30,5786.30,5711.00,5786.30,950283500,5786.30
2012-11-12,5769.70,5795.30,5762.00,5767.30,654357700,5767.30
2012-11-09,5776.10,5786.40,5715.20,5769.70,708900000,5769.70
2012-11-08,5791.60,5824.40,5770.70,5776.10,729278400,5776.10
2012-11-07,5884.90,5921.80,5789.40,5791.60,922666000,5791.60
2012-11-06,5839.10,5885.20,5839.10,5884.90,774672800,5884.90
2012-11-05,5868.60,5868.60,5825.60,5839.10,565871300,5839.10
2012-11-02,5861.90,5890.10,5844.30,5868.60,855128600,5868.60
2012-11-01,5782.70,5866.80,5778.00,5861.90,1042591700,5861.90
2012-10-31,5849.90,5866.70,5782.70,5782.70,874664200,5782.70
2012-10-30,5795.10,5852.20,5794.90,5849.90,403992400,5849.90
2012-10-29,5806.70,5812.70,5763.50,5795.10,432888800,5795.10
2012-10-26,5805.10,5817.90,5753.30,5806.70,622849800,5806.70
2012-10-25,5804.80,5840.60,5802.20,5805.10,654435200,5805.10
2012-10-24,5797.90,5823.20,5776.60,5804.80,953707400,5804.80
